Title,Author,Status,Format,Genres,Mood,Year,Rating
David Copperfield,Charles Dickens,Owned,Audiobook,Classic Literature,Cozy; Thought-provoking; Bittersweet,1800,
The Zenith of Sacrifice,Kalki Krishnamurthy,Owned,Audiobook,Historical Fiction; Fiction,Adventurous,,
The Jewelled Crown,Kalki Krishnamurthy,Owned,Audiobook,Historical Fiction; Fiction,Adventurous,1966,
The Fountainhead,Ayn Rand,Owned,Audiobook,Philosophy; Fiction,Adventurous; Dark & Moody; Thought-provoking,1943,
The Ultimate Classics Collection – Volume One,Various Classic Authors,Owned,Audiobook,Classic Literature,Adventurous,1200,
The Steal Like an Artist Audio Trilogy,Austin Kleon,Owned,Audiobook,Self-Help,Whimsical; Uplifting,2020,
Inglorious Empire,Shashi Tharoor,Owned,Audiobook,Nonfiction; Historical Fiction,Thought-provoking,2017,
Shyam: An Illustrated Retelling of the Bhagavata,Devdutt Pattanaik,Owned,Audiobook,Mythology,Thought-provoking,2018,
Wisdom of the Gods for You and Me,Devdutt Pattanaik,Owned,Audiobook,Mythology; Philosophy,Thought-provoking,1200,
Daughters of the Sun,Ira Mukhoty,Owned,Audiobook,Nonfiction; Historical Fiction,Thought-provoking,2018,
KiMu KiPi,Madhan,Owned,Audiobook,Comedy; Nonfiction,Thought-provoking,,
Vandargal Vendrargal,Madhan,Owned,Audiobook,Nonfiction; Historical Fiction,Adventurous,,
"Good Vibes, Good Life",Vex King,Owned,Audiobook,Self-Help,Uplifting,2015,
Jonathan Livingston Seagull,Richard Bach,Owned,Audiobook,Philosophy; Fiction,Thought-provoking; Slow & Contemplative; Uplifting,1970,
The Beatrix Potter Collection,Beatrix Potter,Owned,Audiobook,Children's; Classic Literature,Cozy; Whimsical,1900,
Atlas Shrugged,Ayn Rand,Owned,Audiobook,Philosophy; Fiction,Adventurous; Dark & Moody; Thought-provoking,1936,
The Upanishads: Stories of the Self,Graham Burns,Owned,Audiobook,Philosophy,Slow & Contemplative,2009,
The Thirteen Principal Upanishads,Various,Owned,Audiobook,Philosophy,Thought-provoking; Slow & Contemplative,,
Olympus: An Indian Retelling of the Greek Myths,Devdutt Pattanaik,Owned,Audiobook,Mythology,Whimsical,,
The Ocean of Churn,Sanjeev Sanyal,Owned,Audiobook,Nonfiction; Historical Fiction,Adventurous; Thought-provoking,,
